MaCK,SanCK,GiaHienTai,GiaSoSach,P/B,CaoNhat52Tuan,ThapNhat52Tuan,EPS,PE,ROA,ROE,Beta,KhoiLuongLuuHanh,KhoiLuongNiemYet,CoPhieuQuy,NuocNgoaiSoHuu,VonThiTruong,DoanhThu-ttm(Trieu),LNST-ttm,VonCSH,TongNo,TongTaiSan,TenCongTy,TenQuocTe,DiaChi,DienThoai,Fax,Website,,,,,
VCM,HASTC,16.4000,0,70056%,20.20,14.28,2.73,6.0,831%,1167%,0.66,3000000,3000000,0,1470000,49199999,24909,0,70224,28401,98624,CTCP Nhân lực và Thương mại Vinaconex,Vinaconex Trading & Manpower JSC,Tầng 5 - Tòa nhà 25T1 - Đường Trần Duy Hưng - Trung Hòa - Cầu Giấy - Hà Nội,(84.24) 6251 1300,024 62.51.13.02,http://www.vinaconexmec.vn,,,,,
VCP,HASTC,34.9000,0,211259%,41.36,28.90,1.27,27.5,275%,743%,0.73,67943992,67943992,0,0,2371245424,549586,83409,1122340,1914814,3037154,CTCP Tư Xây dựng và Phát triển Năng Lượng VCP,VCP Power Development & Contrustion JSC,Tầng 19 Toà nhà Vinaconex - Số 34 Láng Hạ - P. Láng Hạ - Q. Đống Đa - Tp. Hà Nội,(84.24) 6269 9988,024 62699977,vcpholdings.com,,,,,
VCR,HASTC,22.2000,0,48104%,26.10,8.00,-0.39,-56.9,-30%,-85%,1.87,34480000,35240000,760000,17640000,782328027,0,0,1591269,2856258,4447527,CTCP Đầu tư và Phát triển Du lịch Vinaconex,Vinaconex Investment And Tourism Development JSC,Tầng 12 tòa nhà Vinaconex Số 34 Láng Hạ - Q. Đống Đa - Hà Nội,(84.24) 6281 5347 - 6281 5364,024 62.81.53.49,http://www.vinaconexitc.com.vn,,,,,
VCS,HASTC,115.8000,0,439135%,115.60,49.29,9.34,12.4,2383%,3543%,1.27,160000000,160000000,0,25969632,18528000488,5874025,0,4219548,2052516,6272064,CTCP Vicostone,vicostone JSC,Khu công nghệ cao Hòa Lạc - X. Thạch Hòa - H. Thạch Thất - Tp. Hà Nội,(84.24) 3368 5828,0433 686 652,http://www.vicostone.com.vn,,,,,
VCT,HASTC,3.4000,0,N/A,5.00,3.00,-0.60,-5.7,-174%,1075%,0.40,1100000,1100000,0,529400,3740000,0,125,-6185,44363,38178,CTCP Tư vấn Xây dựng Vinaconex,Vinaconex’s Construction Consultant JSC,Tầng 4 & 5 nhà D9 - Khuất Duy Tiến - P.Thanh Xuân Bắc - Q.Thanh Xuân - Tp.Hà Nội,(84.24) 554 0889 - 554 0602 - 554 0603,024 35.54.06.00,http://www.vinaconsult.com.vn,,,,,
VCW,HASTC,45.3000,0,283302%,61.00,31.00,2.69,16.8,1037%,1681%,0.63,75000000,75000000,0,0,3397499943,530056,0,1199554,744566,1944120,CTCP Đầu tư Nước sạch Sông Đà,Song Da Water Investment JSC,Xóm Vật Lại - X. Thịnh Minh - H. Kỳ Sơn - Tp. Hòa Bình - T. Hòa Binh,(84.218) 384 0152,2183840148,http://viwasupco.com.vn,,,,,
VCX,HASTC,7.7000,0,114583%,9.20,3.40,1.10,7.0,434%,1637%,2.01,26530000,26530000,0,12979500,204280995,921773,0,178331,493865,672195,CTCP Xi măng Yên Bình,Yen Binh Cement JSC,Tổ 3- Thị trấn Yên Bình - H.Yên Bình - T.Yên Bái,(84.29) 388 6296,(84-4) 0293.886.303,http://www.ximangyenbinh.com,,,,,
VDB,HASTC,1.2000,0,7444%,1.22,1.20,4.34,0.3,221%,2690%,0.25,6629999,6629999,0,0,7955999,936587,0,106869,1193420,1300289,CTCP Vận tải và Chế biến Than Đông Bắc,Dong Bac Transport and Processing of Coal JSC,Khu 6B - P. Cẩm Thịnh - Tp. Cẩm Phả - T. Quảng Ninh,(84.203) 3866 268,,www.vtcbdongbac.com.vn,,,,,
VDL,HASTC,23.9000,0,171572%,30.10,17.60,0.80,29.9,525%,575%,0.61,14657154,14657154,0,7182003,350305975,295910,0,204148,19111,223259,CTCP Thực phẩm Lâm Đồng,Lam Dong Foodstuffs JSC,Số 31 Ngô Văn Sở - P.9 - Tp.Đà Lạt - T.Lâm Đồng,(84.263) 352 0290,+84-(0)633-82.52.91,https://ladofoods.vn/,,,,,
VDM,HASTC,10.8000,0,99174%,14.50,10.80,0.51,21.2,350%,464%,0.34,5000000,5000000,0,0,54000001,0,0,54465,17703,72169,Viện Dệt May,Vietnam Textile Research Institute,Số 478 Minh Khai - P. Vĩnh Tuy - Q. Hai Bà Trưng - Hà Nội,(84-24) 3862 4025,(0243) 8622867,http://www.viendetmay.org.vn/,,,,,
VDN,HASTC,17.0000,0,62408%,20.70,8.30,0.43,39.5,33%,156%,0.67,2993910,2993910,0,1467015,50896470,0,0,81557,299950,381507,CTCP Vinatex Đà Nẵng,Vinatex Da Nang JSC,Số 25 Trần Quý Cáp - P. Thạch Thang - Q. Hải Châu - Tp. Đà Nẵng,(84.236) 382 7116 - 382 3725,511.3823367,http://www.vinatexdn.com.vn,,,,,
VDT,HASTC,21.5000,0,144392%,25.30,14.08,2.20,9.8,1152%,1474%,0.62,1965440,1965440,0,963065,42256960,0,0,29272,8182,37454,CTCP Lưới thép Bình Tây,Binh Tay Steel Wire Netting Joint Stock Company,117 Âu Cơ - P.Phú Trung - Q.Tân Phú - Tp.HCM,(84.28) 38653581 - 39742279,028 3974 6171,http://www.luoithepbinhtay.com.vn,,,,,
VE1,HASTC,4.1000,0,72954%,7.60,3.70,-1.06,-3.9,-1843%,-1894%,1.32,5983160,5991580,8420,1470000,24565477,6658,0,33603,923,34527,CTCP Xây dựng Điện VNECO 1,Vneco1 Electricity Construction Joint Stock Company,Số 489 Nguyễn Lương Bằng - P. Hòa Hiệp Nam - Q. Liên Chiểu - Tp. Đà Nẵng,(84.236) 377 2005 - 377 2001,236.3772006,http://www.vneco1.com.vn,,,,,
VE2,HASTC,11.0000,0,98127%,14.50,6.50,0.90,12.2,577%,802%,0.16,2158879,2158879,0,1057851,23747669,38507,0,24191,9390,33580,CTCP Xây dựng Điện VNECO 2,Vneco2 Electricity Construction Joint Stock Company,Số 13 Mai Hắc Đế - P.Quán Bàu - Tp.Vinh - T.Nghệ An,(84.238) 384 2195 - 382 8149,383840944,http://vneco2.com.vn,,,,,
VE3,HASTC,8.1000,0,60178%,9.50,5.50,0.75,10.8,157%,556%,1.38,1319710,1319710,0,646657,10689652,47071,0,17764,44957,62721,CTCP Xây dựng Điện VNECO 3,VNECO 3 Electricity Construction JSC,Khối 3 - P.Trung Đô - Tp.Vinh - T.Nghệ An,(84.238) 385 5006 - 385 5619,+84-(0)38–385.52.63,http://www.vneco3.com.vn,,,,,
VE4,HASTC,22.3000,0,154969%,35.30,4.10,0.39,57.2,64%,273%,2.04,1028000,1028000,0,503720,22924399,38527,0,14796,48348,63144,CTCP Xây dựng Điện VNECO4,VNECO4 Electricity Construction JSC,197 Nguyễn Trường Tộ - P.Đông Vĩnh - Tp.Vinh - T.Nghệ An,(84.238) 353 1065,+84-(0)38-385.34.33,http://vneco4.com.vn,,,,,
VE8,HASTC,7.0000,0,66986%,9.40,4.60,3.60,1.9,899%,3447%,0.91,1800000,1800000,0,882000,12600000,92382,0,18811,53286,72097,CTCP Xây dựng Điện VNECO 8,Vneco 8 Electricity Construction Joint Stock Company,Số 10 Đào Duy Từ - P. Thống Nhất - Tp. Buôn Mê Thuột - T. Đăk Lăk,(84.50) 385 9807,+84 05003858921,http://www.vneco8.com.vn,,,,,
VE9,HASTC,2.2000,0,69841%,4.20,1.10,-1.59,-1.4,-4264%,-5027%,2.55,12523613,12523613,0,6136570,27551949,12106,0,39487,7066,46553,CTCP Đầu tư và Xây dựng VNECO 9,VNECO 9 Investment & Construction Joint Stock Company,Số 20 - Đường Hùng Vương - P. Lộc Thọ - Tp. Nha Trang - T. Khánh Hòa,(84.258) 352 5886,(058) 522 934,http://www.vneco9.com,,,,,
VEA,HASTC,40.8000,0,202783%,50.21,36.19,4.34,9.4,2078%,2159%,0.94,1328800000,1328800000,0,0,54215038986,3671449,5771197,26733358,1035989,27769347,Tổng Công ty Máy động lực và Máy nông nghiệp Việt Nam – CTCP,Viet Nam Engine And Agricultural Machinery Corporation,Lô D - Khu D1 - P. Phú Thượng - Q. Tây Hồ - Hà Nội,(84.24) 6280 0802,024 62800809,www.veamcorp.com,,,,,
VEC,HASTC,11.5000,0,82734%,11.90,6.10,-0.23,-50.0,-120%,-163%,1.58,43800000,43800000,0,0,503700000,677323,-9944,609026,219170,828196,Tổng Công ty cổ phần Điện tử và Tin học Việt Nam,Vietnam Electronics and Informatics Joint Stock Corporation,Số 15 Trần Hưng Đạo - P. Phan Chi Trinh - Q. Hoàn Kiếm - Tp. Hà Nội,(84.24) 3825 6404,024 3883 2718,http://www.veic.com.vn,,,,,
VEF,HASTC,125.7000,0,1022783%,155.00,78.70,1.08,116.4,241%,880%,1.39,166604050,166604050,0,81635984,20942128577,7919,0,2047130,5425958,7473088,CTCP Trung tâm Hội chợ Triển lãm Việt Nam,Vietnam Exhibition Fair Centre JSC,Số 148 Giảng Võ - P. Giảng Võ - Q. Ba Đình - Tp. Hà Nội,(84.24) 3834 5655 - 3834 3110,024 3 8313208,http://www.vefac.vn,,,,,
VES,HASTC,3.6000,0,253521%,3.30,0.60,0.01,360.0,73%,106%,0.93,9007500,9007500,0,4408675,32426999,7146,0,12753,5669,18422,CTCP Đầu tư và Xây dựng Điện Mêca Vneco,Meca Vneco Investment & Electricity Construction JSC,R1-72 Bùi Bằng Đoàn - Hưng Phước 1 - Phú Mỹ Hưng - P.Tân Phong - Q.7 - Tp.HCM,(84.83) 5410 5273,+84-(0)83-977.51.55,http://www.mecavneco.com.vn,,,,,
VET,HASTC,70.0000,0,332068%,103.00,43.62,4.40,15.9,784%,2085%,1.68,16000000,16000000,0,0,1120000000,562979,0,337232,559810,897043,CTCP Thuốc thú y Trung ương Navetco,Navetco National Veterinary Joint Stock Company,Số 9-11 Tôn Đức Thắng - P. Bến Nghé - Q. 1 - Tp. HCM,(028) 3822 5063,028 38225060,http://www.navetco.com.vn,,,,,
VFC,HASTC,13.1000,0,84353%,20.00,10.40,0.20,65.5,77%,128%,2.22,33952242,33976121,23879,1435034,445087198,1079439,6752,527426,352829,880255,CTCP Vinafco,Vinafco Joint Stock Corporation,Thôn Tự Thoát - X. Ngũ Hiệp - H. Thanh Trì - Tp. Hà Nội,(84-4) 768 5775,37684465,http://www.vinafco.com.vn,,,,,
VFG,HASTC,52.0000,0,167904%,58.93,33.67,5.41,9.6,1001%,1748%,0.54,32068444,32078654,10210,8959863,1668090008,2308567,0,993202,741036,1734238,CTCP Khử trùng Việt Nam,Viet Nam Fumigation Joint Stock Company,29 Tôn Đức Thắng - P. Bến Nghé - Q. 1 - Tp. HCM,(84.28) 3822 8097,028 38293564,http://www.vfc.com.vn,,,,,
VFR,HASTC,4.4000,0,40109%,5.90,2.30,-0.73,-6.0,-333%,-664%,1.88,15000000,15000000,0,7350000,66000001,167880,-10931,164547,163626,328174,CTCP Vận tải và Thuê tàu,Transport And Chartering Corporation,Số 74 Phố Nguyễn Du - P. Nguyễn Du - Q. Hai Bà Trưng -Tp. Hà Nội,(84.24) 3822 8915,024 38.22.89.16,http://vietfracht.com.vn,,,,,
VFS,HASTC,8.1000,0,72000%,10.70,6.30,0.94,8.6,673%,836%,2.27,41000000,41000000,0,0,332100016,77185,38552,461118,111391,572509,CTCP Chứng khoán Nhất Việt,Viet First Securities Corporation,Lầu 1 số 117-119-121 Nguyễn Du - P. Bến Thành - Q. 1 - Tp. HCM,(84.28) 6255 6586,,http://www.vfs.com.vn,,,,,
VGG,HASTC,41.0000,0,94275%,50.55,29.15,3.84,10.7,353%,882%,1.31,44100000,44100000,0,12889428,1808100000,7101247,169155,1918107,2880266,4798373,Tổng Công ty cổ phần May Việt Tiến,Viet Tien Garment Corporation,07 Lê Minh Xuân - P.7 - Q.Tân Bình - Tp.HCM,(84.28) 3864 0800,028 864.50.85,http://www.viettien.com.vn,,,,,
VGI,HASTC,28.3000,0,298209%,47.50,24.10,-0.38,-74.5,-206%,-404%,1.66,3043811200,3043811200,0,0,86139854638,19249979,-1167461,28876724,27842158,56718883,Tổng Công ty cổ phần Đầu tư Quốc tế Viettel,Viettel Global Investment Joint Stock Company,Tầng 39 Tòa nhà Keangnam Landmark, lô E6, khu đô thị mới Cầu Giấy - P - Mễ Trì - Nam Từ Liêm - Hà Nội,(84.24) 6262 6868,,http://www.viettelglobal.vn,,,
VGL,HASTC,38.0000,0,284644%,44.31,25.08,2.37,16.0,1395%,1773%,0.14,9325155,9325155,0,4569325,354355890,272168,7059,124531,33789,158320,CTCP Mạ Kẽm Công Nghiệp Vingal - Vnsteel,Vingal - Vnsteel Industries Joint Stock Company,Số 4 Đường 2A - KCN Biên Hòa II - P.Long Bình - Tp. Biên Hòa - Đồng Nai,(84.251) 383 6661,(061)3836726,http://www.vingal.com,,,,,
VGP,HASTC,30.0000,0,132392%,48.40,9.19,1.95,15.4,40%,863%,1.20,7891352,8053022,161670,4025199,241590660,7699559,0,178781,3711599,3890380,CTCP Cảng Rau Quả,The Vegetexco Port JSC,Số 1 Nguyễn Văn Quỳ - P. Phú Thuận - Q. 7 - Tp. HCM,(84.28) 3773 1120 - 3773 1121,028 873.33.42,http://www.vegeport.com,,,,,
VGR,HASTC,35.9000,0,207995%,39.90,18.88,2.39,15.0,1312%,1385%,1.16,63250000,63250000,0,0,2270675097,741010,0,1091530,60538,1152068,CTCP Cảng Xanh Vip,Vip Greenport Joint Stock Company,Khu kinh tế Đình Vũ - Cát Hải - P. Đông Hải 2 - Q. Hải An - Tp. Hải Phòng,0225.8830333,0225 8830 688,http://vipgreenport.com.vn,,,,,
VGS,HASTC,14.3000,0,75026%,23.19,6.46,2.96,4.8,598%,1555%,1.68,41309589,41710589,401000,18423857,596461431,6504589,122429,787324,1259342,2046666,CTCP Ống thép Việt Đức VG PIPE,Vietnam Germany Steel Pipe JSC,KCN Bình Xuyên - TT. Đạo Đức - H. Bình Xuyên - T. Vĩnh Phúc,(84.211) 388 7863,+84-(0)211-3888 562,http://www.vgpipe.com.vn,,,,,
VGT,HASTC,15.8000,0,95526%,22.70,6.60,0.64,24.7,175%,388%,1.99,500000000,500000000,0,0,7900000095,13442985,321028,8268539,10109398,18377937,Tập đoàn Dệt May Việt Nam,Vietnam National Textile & Garment Group,Số 25 Bà Triệu - Q. Hoàn Kiếm - TP. Hà Nội,(84.24) 3825 7700,(+84-4).38262269,http://www.vinatex.com.vn,,,,,
VGV,HASTC,10.8000,0,81203%,12.60,7.70,0.78,13.8,248%,584%,1.69,35774448,35774448,0,0,386364045,759242,27760,475758,643245,1119003,Tổng Công ty Tư vấn Xây dựng Việt Nam - CTCP,VietNam National Construction Consultants Corporation - JSC,Số 243 Đê La Thành - P. Láng Thượng - Q. Đống Đa - Tp. Hà Nội,(84.24) 3766 7463,024 37667 464,http://www.vncc.vn/,,,,,
VHD,HASTC,9.9000,0,96210%,16.40,4.40,0.08,123.7,62%,75%,2.16,7000000,7000000,0,0,69299997,0,0,72048,15013,87061,CTCP Đầu tư Phát triển Nhà và Đô Thị Vinaconex,Vinaconex Urban And Housing Development Invesment Joint Stock Company,Tòa nhà Vinahud - Đường Trung Yên 9 - Khu đô thị Trung Yên - P. Trung Hòa - Q. Cầu Giấy - Tp. Hà Nội,(84.24) 3783 5757,024 3783 5656,http://vinahud.com.vn/,,,,,
VHE,HASTC,6.7000,0,43059%,12.70,3.08,0.04,167.5,17%,24%,2.34,10559996,10559996,0,0,70751971,146331,0,164300,72857,237157,CTCP Dược liệu và Thực phẩm Việt Nam,Vietnam Herbs and Foods Joint Stock Company,Số 277 đường Vạn Xuân - X. Hạ Mỗ - H. Đan Phượng - Tp. Hà Nội, Việt Nam,(84.24) 3381 6999,,http://www.vinaherbfoods.com/,,,,
VHF,HASTC,12.8000,0,119738%,21.15,12.79,0.33,38.8,241%,306%,0.41,21500000,21500000,0,10535000,275200004,463188,0,229766,62543,292309,CTCP Xây dựng và Chế biến Lương thực Vĩnh Hà,Vinh Ha Food Processing and Construction JSC,Số 9A Vĩnh Tuy - P.Vĩnh Tuy - Q. Hai Bà Trưng - Tp.Hà Nội,(84.24) 3987 1673 - 987 1743,024 39.87.00.67,http://www.vinhha.com.vn/index.php/vn,,,,,
VHG,HASTC,2.3000,0,153333%,4.30,0.70,-0.50,-4.6,-2812%,-3374%,2.87,150000000,150000000,0,73500000,344999993,0,-51933,224440,44780,269220,CTCP Đầu tư Cao su Quảng Nam,Quang Nam Rubber Investment JSC,Lô 04 KCN Điện Nam - Điện Ngọc - P. Điện Ngọc - TX. Điện Bàn - T. Quảng Nam,(84.235) 394 7234,0235 3946333,http://www.qnr.vn/,,,,,
VHH,HASTC,4.5000,0,108434%,5.00,4.50,-0.34,-13.2,-439%,-810%,0.28,7500000,7500000,0,2940000,33750000,24833,0,31093,26282,57375,CTCP Đầu tư Kinh doanh Nhà Thành Đạt,Thanh Dat Investment House Trading Joint Stock Company,Số 05 Lý Thương Kiệt - P.Phú Nhuận - Tp.Huế - T.Thừa Thiên Huế,(84.234) 381 3699,+84-(0)54-3.81.38.39,http://thanhdathouse.com.vn/,,,,,
VHI,HASTC,9.3000,0,87985%,9.30,9.30,0.02,465.0,15%,21%,0.00,76900000,76900000,0,0,715170015,0,0,812572,314929,1127501,CTCP Kinh doanh và Đầu tư Việt Hà,Viet Ha Investment and Trading Joint Stock Company,Số 254 phố Minh Khai - Q.Hai Bà Trưng - Hà Nội,(84.24) 3632 0999,,http://www.viethacorp.vn/,,,,,
VHL,HASTC,24.0000,0,89021%,27.72,18.94,2.45,9.8,503%,907%,0.91,25000000,25000000,0,7840000,600000000,1835856,0,674044,542040,1216084,CTCP Viglacera Hạ Long,Viglacera Ha Long JSC,Khu 2 - Đường An Tiêm - P. Hà Khẩu - Tp. Hạ Long - T. Quảng Ninh,(84.203) 384 0560,33.3846577,http://viglacerahalong.vn,,,,,
VIE,HASTC,7.2000,0,86228%,10.50,4.20,-0.18,-40.0,-131%,-218%,0.27,1561244,1561244,0,765009,11240957,26590,0,13042,8597,21639,CTCP Công nghệ Viễn thông VITECO,VITECO Vietnam Telecommunications Technology JSC,35/61 Lạc Trung - P.Vĩnh Tuy - Q.Hai Bà Trưng - Hà Nội,(84.24) 3636 0059 - 3862 2727,024 36.36.00.23,http://www.viteco.vn,,,,,
VIF,HASTC,15.3000,0,106620%,17.89,14.39,0.85,18.0,539%,594%,1.00,350000000,350000000,0,0,5355000067,1949721,298597,5023982,520088,5544071,Tổng Công ty Lâm nghiệp Việt Nam - CTCP,Vietnam Forestry Corporation - JSC,Số 127 Lò Đúc - P. Đống Mác - Q. Hai Bà Trưng - TP. Hà Nội,(84.24) 3641 0799,(+84-4)36410800,http://www.vinafor.com.vn,,,,,
VIG,HASTC,3.7000,0,66308%,8.10,0.70,-0.15,-24.7,-244%,-270%,2.74,34133300,34133300,0,16725317,126293212,5193,-5151,190430,20822,211252,CTCP Chứng khoán Thương mại và Công nghiệp Việt Nam,Viet Nam Industrial & Commercial Securities Corporation,Villa số 3 - Số 02 bis Nguyễn Thị Minh Khai - P.Đa Kao - Q.1 - Tp.HCM,(84.28) 3911 0788,028 39.11.07.89,http://vics.vn,,,,,
VIH,HASTC,12.0000,0,83507%,16.10,7.90,2.22,5.4,306%,1548%,1.11,5600000,5600000,0,0,67200000,513934,3454,80494,326715,407209,CTCP Viglacera Hà Nội,Viglacera Hanoi Joint Stock Company,Tầng 15 - Toà nhà Viglacera - Số 1 - Đại lộ Thăng Long - P. Mễ Trì - Q. Từ Liêm - Tp. Hà Nội,(84.24) 3553 3875 - 3553 0070 - (84.241) 368 9234,024 3854 2889 - 0241 3689 189,http://www.viglacerahanoi.com.vn,,,,,
VIM,HASTC,24.9000,0,144014%,27.90,14.36,3.31,7.5,1081%,1914%,1.77,1250000,1250000,0,0,31125000,0,0,21615,16645,38260,CTCP Khoáng sản Viglacera,Viglacera Mineral JSC,Thôn Văn Quỳ - X. Văn Phú - TP. Yên Bái - T. Yên Bái,(84.216) 385 4674,(84-29) 3854673,khoangsanviglacera.com.vn,,,,,
VIN,HASTC,13.0000,0,69039%,16.03,10.37,2.14,6.1,1047%,1138%,1.41,25500000,25500000,0,12368200,331500000,227144,54635,480045,41749,521794,CTCP Giao nhận Kho vận Ngoại Thương Việt Nam,Vinatrans International Freight Forwarders JSC,406 Nguyễn Tất Thành - P.18 - Q.4 - Tp HCM,(84.28) 39414919,84839404770,http://www.vinatrans.com/,,,,,
VIR,HASTC,9.4000,0,83260%,10.34,9.40,-0.02,-470.0,-18%,-21%,0.28,8240000,8240000,0,4037600,77455997,0,0,93022,17857,110880,CTCP Du lịch Quốc tế Vũng Tàu,Vung Tau Intourco Resort JSC,1A Thùy Vân - P.8 - Tp.Vũng Tàu - T.Bà Rịa - Vũng Tàu,(84.254) 358 5325 - 358 5326 - 358 5881,0254 3585 327,http://www.intourcoresort.com.vn,,,,,
VIT,HASTC,13.9000,0,86443%,15.20,7.52,2.99,4.6,585%,1858%,1.21,19500000,19500000,0,7350000,271049993,1268181,0,313570,682755,996326,CTCP Viglacera Tiên Sơn,Viglacera Tien Son Joint Stock Company,KCN Tiên Sơn - H.Tiên Du - T.Bắc Ninh,(84.222) 383 9390 - 383 9279,0341 838 917,http://www.viglaceratienson.com,,,,,
VIW,HASTC,11.3000,0,89046%,15.20,6.00,-0.05,-226.0,-12%,-38%,1.78,58018600,58018600,0,0,655610191,884572,-2768,736503,1537239,2273741,Tổng Công ty Đầu tư Nước và Môi trường Việt Nam,Vietnam Water & Environment Investment Corporation JSC,Số 52 Quốc Tử Giám - Q.Đống Đa - Tp.Hà Nội,(84.24) 3747 2370,024 3843 1346,http://www.viwaseen.com.vn,,,,,
VKC,HASTC,7.3000,0,60132%,9.10,3.60,0.24,30.4,77%,194%,1.44,20000000,20000000,0,6370000,146000004,1063715,0,242711,366623,609334,CTCP Cáp - Nhựa Vĩnh Khánh,Vinh Khanh Cable Plastic Corporation,Số 854 Quốc lộ 1K - Kp. Châu Thới - P. Bình An - TP. Dĩ An - T. Bình Dương,(84.274) 375 1501,,www.vcom.com.vn,,,,,
VKD,HASTC,75.0000,0,517956%,75.00,32.30,0.22,340.9,98%,150%,1.13,11999988,11999988,0,5877117,899999100,111853,7986,173765,93410,267175,CTCP Nước khoáng Khánh Hòa - FIT Beverage,Khanh Hoa Mineral Water Joint Stock Company,Thôn Cây Sung - X. Diên Tân - H. Diên Khánh -T. Khánh Hòa,(84.258) 378 3359 - 378 3571,+84-(58)-378.35.72,www.danhthanh.com.vn,,,,,
VKP,HASTC,0.5000,0,N/A,0.50,0.50,-5.98,-0.1,-3823%,3568%,0.00,8000000,8000000,0,3912870,4000000,471450,4754,-134149,259365,125217,CTCP Nhựa Tân Hóa,Viky Plastic Joint Stock Company,Số 101 Tân Hoá - P.14 - Q.6 - Tp.HCM,(84.28) 3969 2394,028 969.20.84,http://www.tanhoaplastic.vn,,,,,
VLA,HASTC,16.0000,0,133891%,18.00,11.30,-0.44,-36.4,-356%,-365%,0.41,1080000,1080000,0,529200,17280000,6839,0,12902,340,13242,CTCP Đầu tư và Phát triển Công nghệ Văn Lang,Van Lang Technology Development & Investment JSC,Số 81 Trần Hưng Đạo - P. Trần Hưng Đạo - Q. Hoàn Kiếm - Tp. Hà Nội,(84.24) 3512 1610,9424632,http://www.vla.vn,,,,,
VLB,HASTC,41.0000,0,254185%,56.00,28.31,4.36,9.4,2189%,2702%,1.80,47000000,47000000,0,0,1927000000,1151455,0,757959,177705,935663,CTCP Xây dựng và Sản xuất Vật liệu xây dựng Biên Hòa,BIEN HOA BUILDING MATERIALS PRODUCTION AND CONSTRUCTION JSC,K4/79C - Đường Nguyễn Tri Phương - KP3 - Phường Bửu Hòa - TP. Biên Hòa - T. Đồng Nai,(84.251) 385 9358,(061) 385 9917,http://www.bbcc.com.vn/,,,,,
VLC,HASTC,28.1000,0,63388%,43.50,21.60,2.61,10.8,536%,588%,1.68,63101000,63101000,0,30165690,1773138124,2816250,164570,2797208,271767,3068975,Tổng Công ty Chăn Nuôi Việt Nam - CTCP,Vietnam Livestock Corporation JSC,Số 519 Phố Minh Khai - P.Vĩnh Tuy - Q.Hai Bà Trưng - Tp.Hà Nội,(84.24) 3862 6769,+84 (4) 386-23645,http://www.vilico.vn,,,,,
VLF,HASTC,1.8000,0,N/A,1.60,0.80,-0.24,-7.5,-577%,333%,0.35,11959982,11959982,0,5803697,21527967,0,0,-87626,138198,50571,CTCP Lương thực Thực phẩm Vĩnh Long,Vinh Long Cereal and Food Corporation,38 Đường 2/9 - P.1 - Tp.Vĩnh Long - T.Vĩnh Long,(84.270) 382 2512,84-(0)70-382.37.73,http://www.vinhlongfood.com,,,,,
VLG,HASTC,5.2000,0,43993%,6.80,3.00,0.45,11.6,245%,381%,1.54,14212130,14212130,0,6963943,73903073,303594,0,167951,93228,261179,CTCP Vinalines Logistics - Việt Nam,Vinalines Logistics - Viet Nam JSC,Phòng 405 Tầng 4 - Tòa nhà Ocean Park - Số 01 Đào Duy Anh - P.Phương Mai - Q.Đống Đa - Tp.Hà Nội,(84.24) 3577 2047 - 3577 2048,024 35772046,http://www.vinalineslogistics.com.vn,,,,,
VLP,HASTC,1.4000,0,9402%,1.40,1.40,3.05,0.5,1575%,2048%,0.00,3536222,3536222,0,0,4950711,61926,0,52647,15782,68430,CTCP Công trình Công cộng Vĩnh Long,Vinh Long Public Works Joint Stock Company,Số 86 - Đường 3 tháng 2 - P. 1 - Tp. Vĩnh Long - T. Vĩnh Long,(84.270) 382 2729,(84-070) 3831283,http://vipuco.vn/trang-chu.html,,,,,
VLW,HASTC,17.5000,0,128961%,18.50,12.70,2101.00,0.0,12%,15%,0.23,28900000,28900000,0,0,505750000,171187,0,392192,108576,500768,CTCP Cấp nước Vĩnh Long,Vinh Long Water Supply Joint Stock Company Limited,Số 02 - Đường Hưng Đạo Vương - P. 1 - Tp. Vĩnh Long - T. Vĩnh Long,(84.270) 382 2583,070 382 9423,http://capnuocvl.com.vn,,,,,
VMA,HASTC,7.0000,0,31617%,7.00,7.00,1.62,4.3,268%,733%,-0.24,2700000,2700000,0,306700,18900000,305705,-285,59770,103495,163265,CTCP Công nghiệp Ô tô - Vinacomin,Vinacomin Motor Industry Joint Stock Company,Số 370 đường Trần Quốc Tảng - P.Cẩm Thịnh - TP.Cẩm Phà - T.Quảng Ninh,(84.203) 385 6286 - 386 5283,0333 862 398,http://vmicauto.vn/,,,,,
VMC,HASTC,9.6000,0,82687%,12.40,7.72,0.13,73.8,37%,114%,1.12,30000000,30000000,0,4900000,288000011,774602,4375,348326,735018,1083343,CTCP Vimeco,Vimeco JSC,Lô E9 Phạm Hùng - P. Trung Hòa - Q. Cầu Giấy - Tp. Hà Nội,(84.24) 3784 8204,024 3784 8202,http://www.vimeco.com,,,,,
VMG,HASTC,6.7000,0,188732%,10.30,2.50,0.02,335.0,13%,47%,2.54,9600000,9600000,0,59300,64319998,423309,0,34062,86848,120910,CTCP Thương mại và Dịch vụ Dầu khí Vũng Tàu,Commercial Corporation and Petroleum Services Vung Tau,52 Lý Thường Kiệt - P. 1 - Tp. Vũng Tàu - T. Bà Rịa-Vũng Tàu,(84.254) 351 2572 - 3515 3418,0643 513 572,http://vimexcogas.com.vn/,,,,,
