MaCK,SanCK,GiaHienTai,GiaSoSach,PB,CaoNhat52Tuan,ThapNhat52Tuan,EPS,PE,ROA,ROE,Beta,KhoiLuongLuuHanh,KhoiLuongNiemYet,CoPhieuQuy,NuocNgoaiSoHuu,VonThiTruong,DoanhThu-ttm(Trieu),LNST-ttm,VonCSH,TongNo,TongTaiSan,TenCongTy,TenQuocTe,DiaChi,DienThoai,Fax,Website,,,,
MDG,HOSE,12.2500,0,83561%,14.50,10.10,0.84,14.6,252%,577%,0.95,10290531,10589781,299250,5335625,129724817,242973,0,150821,193646,344467,CTCP Miền Đông,Mien Dong Joint Stock Company,Đường số 1 - KCN Biên Hòa 1 - Tp.Biên Hòa - T.Đồng Nai,(84.251) 383 6371,+84-(0)61-383.61.94,http://www.miendong.com.vn,,,,
MHC,HOSE,9.2100,0,61277%,16.30,5.30,5.51,1.7,2197%,3668%,1.81,41406724,41406844,120,13948559,381357035,18264,179496,622401,416477,1038878,CTCP MHC,MHC Joint Stock Company,Tầng 8 Số 52 Phố Lê Đại Hành - P. Lê Đại Hành - Q. Hai Bà Trưng - Tp. Hà Nội,(84.24) 3577 0810,043 5770814,http://www.marinahanoi.com/mhcweb/index.asp,,,,
MIG,HOSE,17.8000,0,147107%,20.30,8.27,1.55,11.5,362%,1285%,1.19,130000000,130000000,0,0,2313999901,3104242,202092,1572476,4014532,5587008,Tổng Công ty cổ phần Bảo hiểm Quân Đội,Military Insurance Company,Tầng 15 - Tòa nhà MIPEC - Số 229 Tây Sơn - P. Ngã Tư Sở - Q. Đống Đa - Hà Nội,(84.24) 6285 3388,024 6285 3366,http://mic.vn,,,,
MSB,HOSE,28.1500,0,N/A,31.40,14.64,,0.0,0%,0%,1.60,1175000000,1175000000,0,0,33076249552,0,0,,,,Ngân hàng Thương mại cổ phần Hàng hải Việt Nam,Ngân hàng Thương mại cổ phần Hàng hải Việt Nam,,,,,,,,
MSH,HOSE,63.3000,0,206323%,64.60,23.98,5.20,12.2,956%,1694%,1.24,50009400,50009400,0,0,3165594982,3823945,92884,1534319,1185122,2719441,CTCP May Sông Hồng,Song Hong Garment Joint Stock Company,105 Nguyễn Đức Thuận - Tp.Nam Định - T.Nam Định,(84.228) 3649 365,,http://www.songhong.vn,,,,
MSN,HOSE,119.0000,0,547630%,123.00,48.35,1.28,93.0,129%,590%,1.23,1168946447,1168946447,0,363899221,139104627193,81185150,1499460,25405101,90861428,116266529,CTCP Tập đoàn Masan,Masan Group Corporation,Phòng 802 - Tầng 8 - Tòa nhà Central Plaza - Số 17 Lê Duẩn - P. Bến Nghé - Q.1 - Tp. Hồ Chí Minh,(84.28) 6256 3862,028 38.27.41.15,https://masangroup.com/?lang_ui=vn,,,,
MWG,HOSE,161.7000,0,658388%,176.60,71.99,5.98,27.0,827%,2433%,1.19,690208401,690600962,392561,71975597,111670173448,111283953,4124217,16953524,32931984,49885508,CTCP Đầu tư Thế giới Di động,Mobile World Investment Corporation,222 Yersin - P.Phú Cường - Tp.Thủ Dầu Một - T.Bình Dương,(84.28) 3812 5960,028 38.125.961,http://www.mwg.vn,,,,
NAF,HOSE,28.8000,0,168126%,30.60,17.85,1.32,21.8,388%,771%,0.87,44439850,44439850,0,14700000,1279867646,1227526,58711,761225,752328,1513553,CTCP Nafoods Group,Nafoods Group Joint Stock Company,Số 47 Nguyễn Cảnh Hoan - P. Quán Bàu - Tp. Vinh - T. Nghệ An,(84.238) 353 2632,84-3-83853902,http://www.nafoodsgroup.com,,,,
NAV,HOSE,17.1000,0,120169%,24.83,16.59,3.07,5.6,1385%,2160%,1.01,8000000,8000000,0,3920000,136800003,59339,0,113838,63737,177575,CTCP Nam Việt,Nam Viet Joint Stock Company,Số 18F Tăng Nhơn Phú - P.Phước Long B - Q.9 - Tp.HCM,(84.28) 3731 3991,028 731.36.41,http://www.navifico.vn,,,,
NBB,HOSE,26.5000,0,150568%,33.83,16.75,3.86,6.9,970%,2195%,1.13,100196856,100336256,139400,28577388,2658910784,3897932,387163,1763690,2229186,3992876,CTCP Đầu tư Năm Bảy Bảy,NBB Investment Corporation,Tòa nhà Carina Plaza - 1648 Võ Văn Kiệt - P. 16 - Q. 8 - Tp. Hồ Chí Minh,(84.28) 6257 7577,+84(0)8-38.44.60.17,http://www.nbb.com.vn,,,,
NCT,HOSE,70.7000,0,401705%,71.10,49.07,7791.00,0.0,39%,44%,0.49,26166940,26166940,0,12821800,1850002578,676992,0,460460,62265,522725,CTCP Dịch vụ Hàng hóa Nội Bài,Noi Bai Cargo Terminal Service Joint Stock Company,Sân bay Quốc tế Nội Bài - H.Sóc Sơn - Tp.Hà Nội,(84.24) 3584 0905,(84.4) 3584 0906,http://www.noibaicargo.com.vn,,,,
NHA,HOSE,24.0000,0,201511%,42.61,6.52,1.32,18.2,919%,1111%,1.86,23744965,23744965,0,5684000,569879160,169414,0,282843,58962,341805,Tổng Công ty Đầu tư Phát triển Nhà và Đô thị Nam Hà Nội,Ha Noi South Housing and Urban Development Corporation,Cụm Công nghiệp Cầu Giát - X. Chuyên Ngoại - TX. Duy Tiên - T. Hà Nam,(84.226) 384 7756,+84-(0)351-386.66.89,http://www.namhanoi.com.vn,,,,
NHH,HOSE,49.9000,0,296142%,84.10,43.56,3.26,15.3,631%,1934%,1.31,36440000,36440000,0,0,1818356056,1298734,11682,613924,1269384,1883308,CTCP Nhựa Hà Nội,HaNoi Plastics Joint Stock Company,Tổ 12 - P. Phúc Lợi - Q. Long Biên - Tp. Hà Nội,(84.24) 8756 889,024 3875 6884,http://www.hanoiplastics.com.vn/,,,,
NKG,HOSE,31.5000,0,163807%,36.75,5.98,3.15,10.0,567%,1636%,1.72,181999867,181999867,0,24516836,5732995810,14016108,0,3499808,6601099,10100906,CTCP Thép Nam Kim,Nam Kim Steel Joint Stock Company,Lô A1 đường Đ2 KCN Đồng An 2 - P. Hòa Phú - Tp. Thủ Dầu Một - T. Bình Dương,(84.274) 374 8848,+84-(0)650-37.48.849,http://www.namkimgroup.vn,,,,
NLG,HOSE,39.6000,0,107172%,41.00,20.38,4.11,9.6,551%,1112%,0.86,265270660,275270660,10000000,69636109,10900717716,2079586,1089622,9800568,9961877,19762445,CTCP Đầu tư Nam Long,Nam Long Investment Corporation,Số 06 Nguyễn Khắc Viện - P. Tân Phú - Q. 7 - Tp. Hồ Chí Minh,(84.28) 5416 1718,(+84-8) 5417 1819,http://www.namlongvn.com,,,,
NNC,HOSE,23.6500,0,174926%,45.17,22.80,5.26,4.5,3082%,3895%,0.87,21920000,21920000,0,8055698,518407992,361164,0,296271,78155,374426,CTCP Đá Núi Nhỏ,Nui Nho Stone JSC,Thửa đất số 1426 - Tờ bản đồ số 3 - KP Bình Thung 2 - P. Bình An - Thị xã Dĩ An - T. Bình Dương,(84.274) 371 5515,6503751234,www.nuinho.vn,,,,
NT2,HOSE,18.4000,0,128402%,24.91,18.35,1.95,9.4,815%,1360%,0.86,287876029,287876029,0,139589254,5296918824,6008513,0,4124577,2762191,6886768,CTCP Điện lực Dầu khí Nhơn Trạch 2,PetroVietnam Power Nhon Trach 2 JSC,Trung Tâm Điện lực Dầu khí - X.Phước Khánh - H.Nhơn Trạch - T.Đồng Nai,(84.251) 222 5893,2512225897,http://www.pvpnt2.vn,,,,
NTL,HOSE,26.3000,0,130392%,28.10,12.93,5.10,5.2,1695%,2530%,1.29,58379900,60989950,2610050,31164000,1604035638,661294,0,1177585,580156,1757741,CTCP Phát triển Đô thị Từ Liêm,Tu Liem Urban Development Joint-Stock Company,Tầng 2A No.9B1 - KĐTM Dịch Vọng - P.Dịch Vọng - Q.Cầu Giấy - Tp.Hà Nội,(84.24) 2221 4124,024 22.21.41.25,http://www.lideco.vn,,,,
NVL,HOSE,103.0000,0,268649%,121.00,44.01,4.24,24.3,268%,1089%,0.79,984729142,984729142,0,0,101427101626,8715990,4111161,37758921,115907334,153666254,CTCP Tập đoàn Đầu tư Địa ốc No Va,No Va Land Investment Group Corporation,Số 313B - 315 Nam Kỳ Khởi Nghĩa - P. 7 - Q. 3 - Tp. HCM,(84.28) 3915 3666,2837752999,http://www.novaland.com.vn,,,,
NVT,HOSE,9.0500,0,205682%,11.80,3.92,0.00,0.0,4%,5%,1.74,90500000,90500000,0,44345000,819025017,192148,218,398187,137604,535791,CTCP Bất động sản Du lịch Ninh Vân Bay,Ninh Van Bay Travel Real Estate JSC,Tầng 3 - Tòa nhà Hoàng Gia - Số 180 Triệu Việt Vương - P. Bùi Thị Xuân - Q. Hai bà Trưng - Tp. Hà Nội,(84.24) 3926 4950 - 3926 4951,024 39 26 49 52,http://www.ninhvanbay.vn,,,,
OCB,HOSE,28.3000,0,167953%,32.30,22.05,3.34,8.5,228%,1983%,1.55,1095906343,1095906343,0,0,31014148671,10962663,3661378,18463379,141834030,160297409,Ngân hàng Thương mại cổ phần Phương Đông,Ngân hàng Thương mại cổ phần Phương Đông,,,,,,,,
OGC,HOSE,5.1800,0,128536%,9.35,3.11,0.22,23.5,179%,552%,1.81,300000000,300000000,0,147000000,1553999949,862179,66780,1209240,2518112,3727351,CTCP Tập đoàn Đại Dương,Ocean Group Joint Stock Company,Số 4 Láng Hạ - Thành Công - Ba Đình - Hà Nội,(84.24) 3772 7252,024 37.72.70.73,http://www.oceangroup.vn,,,,
OPC,HOSE,56.9000,0,202347%,67.81,51.52,4.18,13.6,881%,1485%,0.66,26577280,26577280,0,12402731,1512247273,979258,111017,747347,512122,1259469,CTCP Dược phẩm OPC,OPC Pharmaceutical Joint Stock Company,Số 1017 Hồng Bàng - P.12 - Q.6 - Tp.HCM,(84.28) 3751 7111,028 875.20.48,www.opcpharma.com,,,,
PAC,HOSE,37.0000,0,223160%,38.50,19.73,3.41,10.9,633%,2054%,0.91,46479511,46475609,-3902,22771136,1719597533,3568351,0,770478,1728113,2498591,CTCP Pin Ắc quy Miền Nam,Dry Cell And Storage Battery Joint Stock Company,Số 321 Trần Hưng Đạo - P. Cô Giang - Q..1 - Tp. HCM,(84.28) 3920 3062 - 3920 3063,8.3920239,http://www.pinaco.com.vn,,,,
PC1,HOSE,24.9000,0,92393%,30.50,13.75,2.58,9.7,392%,956%,1.25,191188715,191188715,0,0,4760598931,6834655,492684,5152089,7425038,12577127,CTCP Xây lắp Điện I,Power Construction JSC No.1,Số 18 Lý Văn Phúc - P. Cát Linh - Q. Đống Đa - Tp. Hà Nội,(84.24) 3845 6329,(84-4) 3823.1997,http://www.pcc1.vn,,,,
PDN,HOSE,88.7000,0,249227%,88.70,64.63,8996.00,0.0,16%,25%,0.68,18521954,18521954,0,6050513,1642897263,841176,0,659243,384177,1043420,CTCP Cảng Đồng Nai,Dong Nai Port JSC,1B-D3 Khu phố Bình Dương - P.Long Bình Tân - Tp.Biên Hòa - T.Đồng Nai,(84.251) 383 2225,+84-(0)61-383.12.59,http://www.dongnai-port.com,,,,
PDR,HOSE,88.6000,0,562183%,96.20,18.14,3.32,26.7,756%,1912%,1.10,435786241,435786241,0,98886885,38610660288,3866494,1313355,6867629,10495782,17363411,CTCP Phát triển Bất động sản Phát Đạt,Phat Dat Real Estate Development Joint Stock Company,Tầng 8 - 9 Tòa nhà Viettel - 285 CMT8 - P. 12 - Q. 10 - Tp. HCM,(84.28) 2226 6868,028 37.73.89.08,http://www.phatdat.com.vn,,,,
PET,HOSE,19.7000,0,98352%,24.75,6.89,1.69,11.7,226%,842%,1.94,86600124,86600124,0,42434060,1706022509,15551959,146104,1734328,4728517,6462844,Tổng Công ty cổ phần Dịch vụ Tổng hợp Dầu khí,Petrovietnam General Services JSC Corporation,Lầu 6 - Tòa nhà PetroVietnam - Số 1-5 Lê Duẩn - P.Bến Nghé - Q.1 - Tp.HCM,(84.28) 3911 7777,(84-8) 3911 6789,http://www.petrosetco.com.vn,,,,
PGC,HOSE,16.6000,0,114089%,21.70,11.88,2.66,6.2,682%,1825%,0.94,55693751,55697104,3353,29567892,924571948,3901310,96048,810219,1357844,2168063,Tổng Công ty Gas Petrolimex - CTCP,Petrolimex Gas Corporation - JSC,Tầng 20 Toà nhà MIPEC - 229 Tây Sơn - P. Ngã Tư Sở - Q. Đống Đa - Tp. Hà Nội,(84.24) 3864 1212,024 864.22.49,www.pgas.petrolimex.com.vn,,,,
PGD,HOSE,29.0000,0,190789%,34.95,25.34,2.18,13.3,676%,1432%,1.13,89999025,89999025,0,44099522,2609971725,7748662,0,1367906,1529593,2897499,CTCP Phân phối khí thấp áp Dầu khí Việt Nam,PetroVietNam Low Pressure Gas Distribution JSC,Lầu 7 - PV Gas Tower - 673 Nguyễn Hữu Thọ - X.Phước Kiến - H.Nhà Bè - HCMC,(84.28) 3784 0445,028 3784 0446,http://www.pvgasd.com.vn,,,,
PGI,HOSE,22.2500,0,128094%,21.90,16.67,2.15,10.3,286%,1240%,0.71,88491993,88604883,112890,34777366,1971458647,3550309,190557,1536839,5132333,6669172,Tổng Công ty cổ phần Bảo hiểm Petrolimex,Petrolimex Insurance Corporation,Tầng 21-22 Tòa nhà Mipec - 229 Tây Sơn - Đống Đa - Hà Nội,(84.24) 3776 0867,024 37.76.08.68,http://www.pjico.com.vn,,,,
PHC,HOSE,18.6000,0,118698%,20.00,9.30,0.38,48.9,50%,242%,1.00,25734340,25734340,0,5389988,478658734,1435290,9747,403264,1565581,1968845,CTCP Xây dựng Phục Hưng Holdings,Phuc Hung Holdings Construction JSC,Tầng 1 - Tháp A - Tòa nhà CT2 (The Light) - Đường Tố Hữu - P. Trung Văn - Q. Nam Từ Liêm - Tp. Hà Nội,(84.24) 6275 6061 - 6664 6518/19/20,024.666.465.21,http://www.phuchung.com.vn/,,,,
PHR,HOSE,49.2000,0,200980%,70.50,47.16,7.07,7.0,1600%,2890%,1.15,135499198,135499198,0,39837000,6666560645,1694498,958565,3317389,2672169,5989558,CTCP Cao su Phước Hòa,Phuoc Hoa Rubber Joint Stock Company,Thửa đất số 374 - Tờ bản đồ 17 - Ấp 2 - X. Phước Hòa - H. Phú Giáo - T. Bình Dương,(84.274) 365 7106 - 365 7113 - 365 7111,+84-(0)650-365.71.10,http://www.phr.vn/,,,,
PIT,HOSE,5.7800,0,62826%,6.71,3.70,0.08,72.3,30%,84%,1.34,13221105,14210225,989120,7447679,82135103,631918,0,121605,221656,343261,CTCP Xuất nhập khẩu Petrolimex,Petrolimex International Trading Joint Stock Company,Số 54-56 Bùi Hữu Nghĩa - Q.5 - Tp.HCM,(84.28) 3838 3400,08 3838 3500,http://www.pitco.com.vn,,,,
PJT,HOSE,11.4000,0,75597%,13.00,9.55,1774.00,0.0,5%,12%,1.05,15360478,15360478,0,5300446,175109443,607299,0,231579,326015,557594,CTCP Vận tải Xăng dầu đường Thủy Petrolimex,Petrolimex Joint Stock Tanker Company,Tầng 7 - Tòa nhà số 322 Điện Biên Phủ - P. 22 - Q. Bình Thạnh - Tp. HCM,(84.28) 3899 1101 - 3512 1776,(84.8) 3 512 1775,http://pjtaco.petrolimex.com.vn,,,,
PLP,HOSE,9.8000,0,86572%,12.05,6.50,1.21,8.1,365%,1072%,1.54,39999847,39999847,0,0,391998508,1813142,0,452872,878525,1331396,CTCP Sản xuất và Công nghệ Nhựa Pha Lê,Pha Le Plastics Manufacturing and Technology Joint Stock Company,Lô đất CN4.3 Khu công nghiệp MP Đình Vũ - Khu kinh tế Đình Vũ - Cát Hải - P. Đông Hải 2 - Q. Hải An - Tp. Hải Phòng,(84.24) 3555 1669,024 3555 1671,http://phaleminerals.com.vn/vi/,,,,
PLX,HOSE,50.2000,0,245357%,57.79,39.93,2.42,20.7,484%,1180%,1.09,1293878081,1293878081,0,0,64952680653,123783350,3124866,26477616,38034854,64512470,Tập đoàn Xăng Dầu Việt Nam,Viet Nam National Petroleum Group,Số 1 - Phố Khâm Thiên - P. Khâm Thiên - Q. Đống Đa - Tp. Hà Nội,(84.24) 3851 2603,024 3851 9203,http://www.petrolimex.com.vn,,,,
PME,HOSE,84.0000,0,295151%,84.00,59.55,4414.00,0.0,12%,16%,0.42,75011625,75011625,0,0,6300976500,2105899,0,2134857,549723,2684581,CTCP Pymepharco,Pymepharco Joint Stock Company,Số 166 - 170 Nguyễn Huệ - P. 7 - Tp. Tuy Hòa - T. Phú Yên,(84.257) 382 9165 - 382 3228,057 3824 717,http://www.pymepharco.com,,,,
PMG,HOSE,14.6000,0,85131%,41.40,10.95,-0.22,-66.4,-65%,-130%,1.08,46336278,46336278,0,0,676509676,1307399,-10308,794567,782384,1576951,CTCP Đầu tư và Sản xuất Petro Miền Trung,Petro Center Corporation,Lô 4 - KCN Điện Nam - Điện Ngọc - P. Điện Nam Bắc - Tx. Điện Bàn - T. Quảng Nam,(84.0235) 394 7233,0235 394 7244,http://www.petrocenter.com.vn/,,,,
PNC,HOSE,8.8000,0,55909%,10.30,7.20,1.24,7.1,255%,789%,0.80,10558461,10799351,240890,5409718,95034291,584635,0,166172,347135,513307,CTCP Văn hóa Phương Nam,Phuong Nam Cultural Joint Stock Corporation,Số 940 Đường 3/2 - P.15 - Q.11 - Tp.HCM,(84.28) 3866 3447,028 3866.34.49,http://www.pnc.com.vn,,,,
PNJ,HOSE,91.0000,0,356304%,106.50,50.62,5.21,17.5,1443%,2040%,1.15,225292167,225292876,709,48154542,20501651716,19869334,0,5752949,2383263,8136212,CTCP Vàng bạc Đá quý Phú Nhuận,Phu Nhuan Jewelry Joint Stock Company,170E Phan Đăng Lưu - P.3 - Q.Phú Nhuận - Tp.HCM,(84.28) 3995 1703,028 3995.17.02,http://www.pnj.com.vn,,,,
POM,HOSE,13.4000,0,103635%,20.25,4.75,0.53,25.3,119%,408%,1.65,277410756,278543546,1132790,91850475,3732483410,10077765,146181,3586900,8671519,12258418,CTCP Thép Pomina,Pomina Steel Corporation,Đường 27 - KCN Sóng Thần II - H.Dĩ An - T.Bình Dương,(84.274) 371 0051 - 371 0052,+84-(0)650-374.08.62,http://www.pomina-steel.com,,,,
POW,HOSE,10.5000,0,77951%,14.75,8.53,0.96,10.9,389%,710%,1.32,2341871600,2341871600,0,0,24589651800,29395855,2240361,31543506,26025664,57569170,Tổng Công ty Điện lực Dầu khí Việt Nam - CTCP,PetroVietnam Power Corporation,Tầng 8, 9 - Tòa nhà VPI - 167 Trung Kính - Cầu Giấy - Hà Nội,(024) 22210 288,024 22210388,http://www.pvpower.vn/,,,
PPC,HOSE,22.8500,0,116522%,25.71,18.57,3177.00,0.0,15%,16%,0.80,318154614,326235000,8080386,159855150,7454469874,6774995,0,6237672,478022,6715694,CTCP Nhiệt điện Phả Lại,Pha Lai Thermal Power Joint Stock Company,Km 28 Quốc lộ 18 - P. Phả Lại - Tp. Chí Linh - T. Hải Dương,(84.220) 388 1126,+84-(0)320-88.13.38,http://www.ppc.evn.vn/,,,,
PSH,HOSE,22.3000,0,174355%,32.30,16.92,0.32,69.7,39%,249%,0.78,126196780,126196780,0,0,2814188098,5971966,24448,1613929,8703577,10317506,CTCP Thương mại Đầu tư Dầu khí Nam Sông Hậu,Nam Song Hau Trading Investing Petroleum Joint Stock Company,Ấp Phú Thạnh - Thị trấn Mái Dầm - H. Châu Thành - T. Hậu Giang.,(84.292) 654 7979 - 653 7979,,http://nshpetro.vn/,,,,
PTB,HOSE,92.0000,0,214053%,92.40,39.81,8.20,11.2,771%,1909%,1.05,48599441,48599441,0,8820301,4471148572,5796176,398679,2088887,3079855,5168742,CTCP Phú Tài,Phu Tai Joint Stock Company,Số 278 - Đường Nguyễn Thị Định - P. Nguyễn Văn Cừ - Tp. Quy Nhơn - T. Bình Định,(84.256) 384 7668 - 384 7078,+84-(056)-3.84.75.56,http://www.phutai.com.vn,,,,
PTC,HOSE,9.8000,0,63927%,12.00,7.35,2.81,3.5,1576%,1832%,1.09,17999999,17999999,0,8819999,176399994,2728,6587,276022,44785,320807,CTCP Đầu tư và Xây dựng Bưu điện,Post & Telecommunications Investment And Construction JSC,Tầng 3 - Tháp C - Tòa nhà Golden Palace - Đường Mễ Trì - P. Mễ Trì - Q. Nam Từ Liêm - Tp. Hà Nội,(84.24) 3861 5655 - 3861 2360,(+84-4)-38611511,http://www.ptic.vn,,,,
PTL,HOSE,6.0000,0,80429%,8.49,4.30,0.00,0.0,0%,0%,1.61,97730160,98865080,1134920,49000000,593190480,47076,-2969,729430,427467,1156897,CTCP Đầu tư Hạ tầng và Đô thị Dầu khí,PVC Petro Capital & Infrastructure Investment., JSC,TTTM Tài chính Dầu khí PMH - 12 Tân Trào - Tân Phú - Q.7 - Tp.HCM,(84.28) 5416 1020,028 54 16 10 21,http://www.petroland.com.vn,,,
PVD,HOSE,17.2000,0,52137%,25.70,8.90,0.13,132.3,27%,40%,1.76,421545789,421545789,0,170748466,7250587892,4108246,55226,13906384,6849763,20756147,Tổng Công ty cổ phần Khoan và Dịch vụ khoan Dầu khí,PetroVietnam Drilling & Well Services Corporation,Lầu 4 - Tòa nhà Sailling Tower - Số 111A Pasteur - P.Bến Nghé - Q.1 - Tp.HCM,(84.28) 3914 2012,028 3914 2021,http://www.pvdrilling.com.vn,,,,
PVT,HOSE,17.6000,0,88265%,21.60,7.56,2.19,8.0,622%,1097%,1.52,323651246,323651246,0,125370195,5696262053,7609689,707837,6453647,4925852,11379499,Tổng Công ty cổ phần Vận tải Dầu khí,Petrovietnam Transportation Corporation,Tầng 2 Tòa nhà PVFCCo - 43 Mạc Đĩnh Chi - P.Đa Kao - Q.1- Tp.HCM,(84.28) 3911 1301,028 911.13.00,http://www.pvtrans.com,,,,
PXI,HOSE,2.9500,0,40082%,4.75,2.70,-1.47,-2.0,-1045%,-1999%,1.38,30000000,30000000,0,14700000,88500001,-5759,0,220913,201753,422665,CTCP Xây dựng Công nghiệp và Dân dụng Dầu khí,Petroleum Industrial & Civil Construction JSC,Số 35D - Đường 30/4 - P.9 - Tp.Vũng Tàu - T.Bà Rịa Vũng Tàu,(84.254) 383 4784 - 383 2057,+84-(0)64-383.99.25,http://www.pvc-ic.com.vn,,,,
PXS,HOSE,5.5500,0,97198%,8.86,4.28,0.04,138.8,21%,77%,1.76,60000000,60000000,0,29400000,333000011,1220044,0,342554,890067,1232621,CTCP Kết cấu Kim loại và Lắp máy Dầu khí,Petroleum Equipment Assembly & Metal Structure .,JSC,2 Nguyễn Hữu Cảnh - P.Thắng Nhất - Tp.Vũng Tàu - T.Bà Rịa Vũng Tàu,(84.254) 384 8229,02 543 848 229,http://www.pvc-ms.vn,,,
QCG,HOSE,6.1500,0,39729%,10.40,5.57,0.11,55.9,31%,74%,1.64,275129310,275129310,0,134813361,1692045283,2133300,31457,4257929,5790408,10048337,CTCP Quốc Cường Gia Lai,Quoc Cuong Gia Lai Joint Stock Company,Đường Nguyễn Chí Thanh - P. Trà Bá - Tp. Pleiku - T. Gia Lai,(84.269) 382 0896 - 382 0046,+84-(0)59-382.05.49,www.quoccuonggialai.com.vn,,,,
RAL,HOSE,168.5000,0.1,162144%,241.90,76.52,32.26,5.2,820%,3104%,1.26,11500000,11500000,0,5635000,1937750000,5358054,0,1195046,3328880,4523926,CTCP Bóng đèn Phích nước Rạng Đông,Rangdong Light Source And Vacuum Flask JSC,Số 87-89 Phố Hạ Đình - P.Thanh Xuân - Q.Thanh Xuân - Tp.Hà Nội,(84.24) 3858 4310,024 3858.50.38,http://www.rangdongvn.com,,,,
RDP,HOSE,9.6000,0,81702%,11.72,5.34,0.31,31.0,57%,262%,1.12,41069921,41069921,0,8885582,394271257,2672512,12640,482625,1732682,2215307,CTCP Rạng Đông Holding,Rang Dong Holding Plastic JSC,Số 190 - Lạc Long Quân - P.3 - Q.11 - Tp.HCM,(84.28) 969 2272 - 969 6642,028 969.28.43,http://www.rdplastic.com.vn,,,,
REE,HOSE,51.5000,0,122386%,60.00,31.70,5.96,8.6,859%,1416%,0.95,300048702,305056367,5002474,151928832,15710402900,5645795,1787834,12627485,8189844,20817329,CTCP Cơ Điện Lạnh,Refrigeration Electrical Engineering Corporation,Số 364 Cộng Hòa - P. 13 - Q. Tân Bình - Tp. HCM,(84.28) 3810 0017,84-2838100337,http://www.reecorp.com,,,,
RIC,HOSE,17.9000,0,185492%,46.15,4.11,-0.95,-18.8,-828%,-980%,2.23,79714190,28708169,0,14067002,513876214,117317,0,769126,140370,909495,CTCP Quốc tế Hoàng Gia,The Royal International Corporation,Đường Hạ Long - P.Bãi Cháy - Tp.Hạ Long - T.Quảng Ninh,(84.203) 384 8777 - 384 6658,0203 3846728,http://vn.royalhalonghotel.com/,,,,
ROS,HOSE,4.8600,0,45763%,7.86,2.09,0.03,162.0,18%,33%,1.78,567598121,567598121,0,0,2758526944,1412873,0,6026761,5212320,11239082,CTCP Xây dựng FLC Faros,FLC Faros Construction Joint Stock Company,Số 265 Cầu Giấy - P. Dịch Vọng - Q. Cầu Giấy - Tp. Hà Nội,(84.24) 3224 2600,(84.4) 3224 2601,http://www.flcfaros.vn/Default.aspx,,,,
S4A,HOSE,27.0000,0,228041%,28.54,25.55,2.36,11.4,1008%,1992%,0.42,42200000,42200000,0,20678000,1139400000,239132,0,499810,487626,987436,CTCP Thủy điện Sê San 4A,Se San 4A Hydro Power JSC,650 Lê Duẩn - Tp. Pleiku - Gia Lai,(84.5) 9375 6096,(0269)3 756097,http://www.sesan4a.com.vn/,,,,
SAB,HOSE,153.6000,0,465032%,205.44,150.20,7.71,19.9,1832%,2334%,0.88,641281186,641281186,0,0,98500794084,29090068,4944103,21181020,5808140,26989160,Tổng Công ty cổ phần Bia - Rượu - Nước giải khát Sài Gòn,Saigon Beer - Alcohol - Beverage Corporation,187 Nguyễn Chí Thanh - P. 12 - Q. 5 - Tp. Hồ Chí Minh,(84.28) 3829 4083 - 3829 6342 - 3829 4081,(+84)2838296856,http://sabeco.com.vn,,,,
SAM,HOSE,9.1000,0,52876%,14.30,8.30,0.39,23.3,164%,228%,1.01,256504540,256504540,0,88315314,2334191412,1881198,100541,4413345,1730913,6144258,CTCP SAM HOLDINGS,SAM Holdings Corporation,Số 152/11B Điện Biên Phủ - P. 25 - Q. Bình Thạnh - Tp. Hồ Chí Minh,(84.28) 3812 2919,028 3512 8632,www.samholdings.com.vn,,,,
SAV,HOSE,24.1000,0,105655%,44.91,6.64,3.80,6.3,960%,1665%,1.66,13808315,14204085,395770,5163322,342318454,1006600,0,314973,231600,546573,CTCP Hợp tác Kinh tế và Xuất nhập khẩu Savimex,Savimex Corporation,Số 194 Nguyễn Công Trứ - P. Nguyễn Thái Bình - Q. 1 - Tp. Hồ Chí Minh,(84.28) 3829 2806 - 3829 2815,8299642,http://www.savimex.com,,,,
SBA,HOSE,15.9000,0,114719%,16.70,11.90,2.07,7.7,970%,1494%,0.52,60088401,60288331,199930,29639247,958584440,338504,0,832932,450288,1283220,CTCP Sông Ba,Song Ba Joint Stock Company,573 Núi Thành - P.Hoa Cường - Q.Hải Châu - Tp.Đà Nẵng,(84.236) 365 3592,+84-(0)511-365.35.93,http://www.songba.vn,,,,
SBT,HOSE,18.1500,0,139294%,25.00,12.78,0.62,29.3,203%,477%,1.52,586740552,586740552,0,95432906,10649340795,14363938,527543,7685365,10717237,18402602,CTCP Thành Thành Công - Biên Hòa,Thanh Thanh Cong - Bien Hoa Joint Stock Company,X. Tân Hưng - H. Tân Châu - T. Tây Ninh,(84.276) 375 7250,+84-(0)66-383.98.34 / 753 254,http://ttcsugar.com.vn/,,,,
SBV,HOSE,13.4000,0,70047%,17.40,7.29,2.36,5.7,718%,1233%,1.06,27366476,27366476,0,0,366710768,482511,0,523433,376205,899639,CTCP Siam Brothers Việt Nam,Siam Brothers Vietnam JSC,Tòa nhà Anna - Số 10 - Công viên phần mềm Quang Trung - P. Tân Chánh Hiệp - Q. 12 - Tp. HCM,(84.28) 3891 2889,(08) 38912789,http://siambrothersvn.com/,,,,
